study,schema,arm,task,policy_residual,policy_p_solve,minorminer_residual,evaluation
pegasus3,physics,quality,,0.01639855716630179,0.5966796875,0.00898138334245072,final
pegasus3,physics,quality,,0.022190531305114662,0.736572265625,0.006858327821869499,final
pegasus3,physics,quality,,0.02586435482201953,0.59228515625,0.012800406146522975,final
pegasus3,physics,quality,,0.06687171436915874,0.121337890625,0.035706136828270334,final
pegasus3,physics,quality,,0.1329810128638267,0.232177734375,0.035237461018710656,final
pegasus3,physics,quality,,0.03188558815084173,0.50732421875,0.018850796803215775,final
pegasus3,physics,quality,,0.09657091197401262,0.114501953125,0.045352142636138966,final
pegasus3,physics,quality,,0.05013744212963052,0.478759765625,0.03363715277777854,final
pegasus3,physics,quality,,0.027025683842239894,0.597900390625,0.017692430025445377,final
pegasus3,physics,quality,,0.06661351278680801,0.3291015625,0.016009649856596454,final
pegasus3,physics,quality,,0.04751515468227357,0.44140625,0.017592822428930045,final
pegasus3,physics,quality,,0.08276265036611181,0.070068359375,0.05682858263598328,final
pegasus3,physics,quality,,0.06592797907175188,0.155517578125,0.03510953516514741,final
pegasus3,physics,quality,,0.06303121804703349,0.5087890625,0.02924894555214725,final
pegasus3,physics,quality,,0.03551288338088453,0.274658203125,0.016460859486447564,final
pegasus3,physics,quality,,0.04291469672509329,0.39794921875,0.02318525138376414,final
pegasus3,physics,quality,,0.10487478016775062,0.21337890625,0.05902495941558458,final
pegasus3,physics,quality,,0.041068892045454934,0.453125,0.014360795454545565,final
pegasus3,physics,quality,,0.0401870265151515,0.3583984375,0.016717360424900813,final
zephyr2,local,continued_feasibility,,0.14316876073883608,0.097412109375,0.07660478414948757,final
zephyr2,local,continued_feasibility,,0.2044154006933127,0.009033203125,0.06916229098694934,final
zephyr2,local,continued_feasibility,,0.06725353588998255,0.257568359375,0.06754702873434724,final
zephyr2,local,continued_feasibility,,0.12342646906145949,0.03515625,0.022785376868770895,final
zephyr2,local,frozen,,0.13268833225945495,0.083251953125,0.07660478414948757,final
zephyr2,local,frozen,,0.09285149877650992,0.035888671875,0.06916229098694934,final
zephyr2,local,frozen,,0.13767085476297033,0.094970703125,0.06754702873434724,final
zephyr2,local,frozen,,0.08799228266887908,0.04736328125,0.022785376868770895,final
zephyr2,local,quality,,0.13268833225945495,0.083251953125,0.07660478414948757,init
zephyr2,local,quality,,0.09285149877650992,0.035888671875,0.06916229098694934,init
zephyr2,local,quality,,0.13767085476297033,0.094970703125,0.06754702873434724,init
zephyr2,local,quality,,,,0.022785376868770895,init
