source,task,variables,arm,qubits,longest,residual,p_solve,broken
broken_clone_local.log,pegasus3-fill30-a3.0-15,27,minorminer,29,,0.0288339446952606,0.461669921875,0.0003345630787037037
broken_clone_local.log,pegasus3-fill30-a3.0-24,30,policy,83,6,0.1853691643197622,0.10986328125,0.12081705729166667
broken_clone_local.log,pegasus3-fill30-a3.0-24,30,pruned,62,5,0.20723265543761418,0.091064453125,0.11617024739583333
broken_clone_local.log,pegasus3-fill30-a3.0-24,30,minorminer,33,,0.11049542352686305,0.212646484375,0.029134114583333332
broken_clone_local.log,pegasus3-fill30-a3.0-3,26,policy,64,7,0.10525581531954906,0.523193359375,0.06600247896634616
broken_clone_local.log,pegasus3-fill30-a3.0-3,26,pruned,45,4,0.13677993812656689,0.34130859375,0.059823843149038464
broken_clone_local.log,pegasus3-fill30-a3.0-3,26,minorminer,31,,0.06847685620300764,0.64892578125,0.017737755408653848
broken_clone_local.log,pegasus3-fill30-a3.0-8,33,policy,42,2,0.11526967243976172,0.19775390625,0.069091796875
broken_clone_local.log,pegasus3-fill30-a3.0-8,33,pruned,41,2,0.11053510918675,0.208251953125,0.06753077651515152
broken_clone_local.log,pegasus3-fill30-a3.0-8,33,minorminer,34,,0.0887165850903616,0.32666015625,0.010912346117424242
broken_clone_local.log,pegasus3-fill30-a3.0-9,32,policy,47,4,0.12538240131579115,0.15478515625,0.047149658203125
broken_clone_local.log,pegasus3-fill30-a3.0-9,32,pruned,41,3,0.14247121710526528,0.162353515625,0.04450225830078125
broken_clone_local.log,pegasus3-fill30-a3.0-9,32,minorminer,34,,0.03938939144736827,0.49267578125,0.00380706787109375
broken_clone_local.log,pegasus3-fill30-a3.0-23,28,policy,58,6,0.12369730247641404,0.18603515625,0.11375209263392858
broken_clone_local.log,pegasus3-fill30-a3.0-23,28,pruned,52,5,0.12879753832546997,0.174072265625,0.10807582310267858
broken_clone_local.log,pegasus3-fill30-a3.0-23,28,minorminer,35,,0.251580925707545,0.054931640625,0.0677490234375
broken_clone_local.log,pegasus3-fill30-a3.0-27,24,policy,35,4,0.09755993764334762,0.140869140625,0.056864420572916664
broken_clone_local.log,pegasus3-fill30-a3.0-27,24,pruned,35,4,0.09388662915710988,0.154296875,0.056538899739583336
broken_clone_local.log,pegasus3-fill30-a3.0-27,24,minorminer,30,,0.10005061998279667,0.193603515625,0.042429606119791664
broken_clone_local.log,pegasus3-fill30-a3.0-11,25,policy,34,4,0.04910815135542204,0.287109375,0.048662109375
broken_clone_local.log,pegasus3-fill30-a3.0-11,25,pruned,33,4,0.05102597891566303,0.28955078125,0.047939453125
broken_clone_local.log,pegasus3-fill30-a3.0-11,25,minorminer,26,,0.014733151355421508,0.68603515625,1.953125e-05
broken_clone_local.log,pegasus3-fill30-a3.0-0,17,policy,21,2,0.010272199207492783,0.865234375,0.0015222886029411765
broken_clone_local.log,pegasus3-fill30-a3.0-0,17,pruned,19,2,0.009157735951008666,0.870361328125,0.0
broken_clone_local.log,pegasus3-fill30-a3.0-0,17,minorminer,18,,0.007896929034582192,0.88232421875,0.0
broken_clone_local.log,pegasus3-fill30-a3.0-1,28,policy,47,7,0.18391927083333506,0.154541015625,0.06442696707589286
broken_clone_local.log,pegasus3-fill30-a3.0-1,28,pruned,44,7,0.18886910232843268,0.14794921875,0.06341552734375
broken_clone_local.log,pegasus3-fill30-a3.0-1,28,minorminer,29,,0.05228439031862805,0.536376953125,0.004481724330357143
broken_clone_local.log,pegasus3-fill30-a3.0-2,29,policy,39,3,0.03547594756261225,0.423828125,0.06717234644396551
broken_clone_local.log,pegasus3-fill30-a3.0-2,29,pruned,38,3,0.03188240720035863,0.4208984375,0.06694504310344827
broken_clone_local.log,pegasus3-fill30-a3.0-2,29,minorminer,30,,0.009003941189624167,0.736572265625,0.0005303744612068966
broken_clone_physics.log,pegasus3-fill30-a3.0-22,32,policy,46,3,0.09214079483695317,0.24462890625,0.06494140625
broken_clone_physics.log,pegasus3-fill30-a3.0-22,32,pruned,42,3,0.09221085258151837,0.245849609375,0.06555938720703125
broken_clone_physics.log,pegasus3-fill30-a3.0-22,32,minorminer,33,,0.05244352921195484,0.1767578125,0.02210235595703125
broken_clone_physics.log,pegasus3-fill30-a3.0-17,34,policy,63,6,0.11868794059491142,0.06689453125,0.07491526884191177
