source,task,depth,action,residual,is_policy_pick,is_measured_best,spread
branch_records_p3.jsonl,pegasus3-fill30-a3.0-125,14,1,0.11829304245283015,1,1,0.12746904481132076
branch_records_p3.jsonl,pegasus3-fill30-a3.0-125,14,23,0.15013266509433948,0,0,0.12746904481132076
branch_records_p3.jsonl,pegasus3-fill30-a3.0-125,14,72,0.2457620872641509,0,0,0.12746904481132076
branch_records_p3.jsonl,pegasus3-fill30-a3.0-125,14,113,0.1307856721698112,0,0,0.12746904481132076
branch_records_p3.jsonl,pegasus3-fill30-a3.0-125,32,58,0.13266509433962262,1,0,0.031065742924528295
branch_records_p3.jsonl,pegasus3-fill30-a3.0-125,32,79,0.10159935141509432,0,1,0.031065742924528295
branch_records_p3.jsonl,pegasus3-fill30-a3.0-125,32,143,0.11368661556603779,0,0,0.031065742924528295
branch_records_p3.jsonl,pegasus3-fill30-a3.0-125,32,185,0.13050928655660374,0,0,0.031065742924528295
branch_records_p3.jsonl,pegasus3-fill30-a3.0-125,66,1,0.11517909787735844,1,0,0.06052844929245266
branch_records_p3.jsonl,pegasus3-fill30-a3.0-125,66,9,0.1692769752358489,0,0,0.06052844929245266
branch_records_p3.jsonl,pegasus3-fill30-a3.0-125,66,56,0.15359669811320745,0,0,0.06052844929245266
branch_records_p3.jsonl,pegasus3-fill30-a3.0-125,66,64,0.10874852594339623,0,1,0.06052844929245266
branch_records_p3.jsonl,pegasus3-fill30-a3.0-125,68,1,0.16196196933962248,0,0,0.07338959316037713
branch_records_p3.jsonl,pegasus3-fill30-a3.0-125,68,11,0.22355910966981102,1,0,0.07338959316037713
branch_records_p3.jsonl,pegasus3-fill30-a3.0-125,68,56,0.1501695165094339,0,1,0.07338959316037713
branch_records_p3.jsonl,pegasus3-fill30-a3.0-125,68,88,0.22232458726415094,0,0,0.07338959316037713
branch_records_p3.jsonl,pegasus3-fill30-a3.0-1,3,44,0.12418573943661972,0,0,0.04093309859154942
branch_records_p3.jsonl,pegasus3-fill30-a3.0-1,3,52,0.142781690140845,0,0,0.04093309859154942
branch_records_p3.jsonl,pegasus3-fill30-a3.0-1,3,53,0.15063820422535218,1,0,0.04093309859154942
branch_records_p3.jsonl,pegasus3-fill30-a3.0-1,3,122,0.10970510563380276,0,1,0.04093309859154942
branch_records_p3.jsonl,pegasus3-fill30-a3.0-1,10,0,0.2342649647887327,1,0,0.14236355633802852
branch_records_p3.jsonl,pegasus3-fill30-a3.0-1,10,1,0.09190140845070419,0,1,0.14236355633802852
branch_records_p3.jsonl,pegasus3-fill30-a3.0-1,10,62,0.17777288732394375,0,0,0.14236355633802852
