task_index,source,break_rate,length,internal_edges,redundancy,cut_vertices,logical_degree,coupling_mass,contacts,mass_per_contact,max_contact_load,load_concentration,field
0,policy1,0.31494140625,3.0,2.0,0.0,1.0,2.0,6.2,3.0,2.066666666666667,3.5,1.4432989690721651,0.0
0,policy1,0.00927734375,2.0,1.0,0.0,0.0,4.0,9.0,5.0,1.8,3.9,2.0,0.0
0,minorminer,0.0,1.0,0.0,0.0,0.0,5.0,7.0,5.0,1.4,2.5,1.7857142857142858,0.0
0,minorminer,0.0,1.0,0.0,0.0,0.0,2.0,7.0,2.0,3.5,3.5,1.0,0.0
0,minorminer,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,minorminer,0.0,1.0,0.0,0.0,0.0,3.0,7.0,3.0,2.3333333333333335,3.5,1.5,0.0
0,minorminer,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,minorminer,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,minorminer,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,minorminer,0.0,1.0,0.0,0.0,0.0,2.0,2.8,2.0,1.4,1.7999999999999998,1.2857142857142856,0.0
0,minorminer,0.0,1.0,0.0,0.0,0.0,2.0,4.0,2.0,2.0,2.6,1.3,0.0
0,minorminer,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,minorminer,0.0,1.0,0.0,0.0,0.0,4.0,8.6,5.0,1.72,3.9,2.122448979591837,0.0
0,minorminer,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,minorminer,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,minorminer,0.0,1.0,0.0,0.0,0.0,2.0,5.0,2.0,2.5,2.9,1.16,0.0
0,minorminer,0.0078125,2.0,1.0,0.0,0.0,7.0,11.200000000000001,8.0,1.4000000000000001,2.9,2.0402010050251254,0.0
0,minorminer,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,minorminer,0.0,1.0,0.0,0.0,0.0,3.0,2.8000000000000003,3.0,0.9333333333333335,1.2000000000000002,1.2857142857142858,0.0
0,minorminer,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,minorminer,0.0,1.0,0.0,0.0,0.0,2.0,6.2,2.0,3.1,3.5,1.129032258064516,0.0
0,minorminer,0.0,1.0,0.0,0.0,0.0,3.0,3.5999999999999996,3.0,1.2,2.0,1.6666666666666667,0.0
0,minorminer,0.0,1.0,0.0,0.0,0.0,3.0,7.799999999999999,3.0,2.5999999999999996,3.9,1.5,0.0
0,minorminer,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,minorminer,0.0,1.0,0.0,0.0,0.0,3.0,6.6,3.0,2.1999999999999997,2.9,1.3181818181818183,0.0
